Company Name,Principle_1,Principle_2,Principle_3,Principle_4,Principle_5,Principle_6,Principle_7,Principle_8,Principle_9,Principle_10
Accenture,0.7177507877349854,0.7023822069168091,0.6221158504486084,0.6190367937088013,0.6954315900802612,0.6674702167510986,0.6795275211334229,0.6982201933860779,0.6791186928749084,0.6093934774398804
Adobe,0.566864013671875,0.510722279548645,0.5764067769050598,0.49982476234436035,0.6040105223655701,0.5326765775680542,0.5713223218917847,0.5758216381072998,0.6240227222442627,0.5158354043960571
Alphabet,0.6305943131446838,0.6642623543739319,0.6072582602500916,0.4950266182422638,0.7231272459030151,0.6073176860809326,0.6849136352539062,0.612064778804779,0.6682770252227783,0.5918542146682739
Amazon,0.5966750383377075,0.6816745400428772,0.5660901069641113,0.5016142129898071,0.6777152419090271,0.5104012489318848,0.6236841082572937,0.5919172167778015,0.6279090642929077,0.5968353748321533
Atos,0.7098029255867004,0.7186893224716187,0.6294260025024414,0.6435015201568604,0.7368598580360413,0.6546725034713745,0.6914426684379578,0.722562313079834,0.6923125982284546,0.6350332498550415
Capgemini,0.6640510559082031,0.6447361707687378,0.6539790630340576,0.599696159362793,0.7629047632217407,0.668192982673645,0.7066682577133179,0.7109570503234863,0.7196648120880127,0.6505459547042847
Cisco,0.6604955196380615,0.7701812982559204,0.6317492127418518,0.4997773766517639,0.7744747996330261,0.6698940396308899,0.7218757271766663,0.707748293876648,0.70189368724823,0.6718839406967163
Facebook,0.6686309576034546,0.6764324903488159,0.6585058569908142,0.5306881666183472,0.7621899843215942,0.7020330429077148,0.7244622707366943,0.6932147741317749,0.7054476737976074,0.6638221144676208
FUJIFILM,0.6006124019622803,0.490608274936676,0.6030007600784302,0.5692251920700073,0.5814371705055237,0.5798970460891724,0.5464684367179871,0.602530837059021,0.6130874752998352,0.5571273565292358
Fujitsu Ltd.,0.6491615772247314,0.5758298635482788,0.6753942370414734,0.6296467185020447,0.664728045463562,0.6080645322799683,0.63242506980896,0.6656022071838379,0.6501814126968384,0.6303802132606506
Hewlett Packard Enterprise,0.6849521398544312,0.7151791453361511,0.6306675672531128,0.5641240477561951,0.7645440101623535,0.7010414600372314,0.689422607421875,0.7151670455932617,0.7454414963722229,0.6346482634544373
HP,0.6849521398544312,0.7151791453361511,0.6306675672531128,0.5641240477561951,0.7645440101623535,0.7010414600372314,0.689422607421875,0.7151670455932617,0.7454414963722229,0.6346482634544373
IBM,0.6361242532730103,0.6385586261749268,0.6272794008255005,0.5342512726783752,0.7197668552398682,0.6692997217178345,0.6908364295959473,0.6880432367324829,0.6944708824157715,0.6181750297546387
